index,cik,ticker,name
538,1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
539,1130894,TYIDY,TOYOTA INDUSTRIES CORP /FI
540,743316,MXIM,MAXIM INTEGRATED PRODUCTS INC
541,1673358,YUMC,"Yum China Holdings, Inc."
542,1552000,MPLX,MPLX LP
543,27904,DAL,"DELTA AIR LINES, INC."
544,1595085,EGRNY,China Evergrande Group/ADR
545,936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
546,1262039,FTNT,"Fortinet, Inc."
547,1444406,EC,ECOPETROL S.A.
548,1084656,CGEMY,CAP GEMINI SA
549,1596532,ANET,"Arista Networks, Inc."
550,106535,WY,WEYERHAEUSER CO
551,908829,PUGOY,PEUGEOT S A /FI
552,63754,MKC,MCCORMICK & CO INC
553,935703,DLTR,"DOLLAR TREE, INC."
554,1047862,ED,CONSOLIDATED EDISON INC
555,719739,SIVB,SVB FINANCIAL GROUP
556,814052,TEF,TELEFONICA S A
557,1436778,SAXPY,Sampo OYJ
558,16988,CAJ,CANON INC
559,1243429,MT,ArcelorMittal
560,1093028,EJPRY,EAST JAPAN RAILWAY CO /FI
561,1463101,ENPH,"Enphase Energy, Inc."
562,1456346,FNV,FRANCO NEVADA Corp
563,1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
564,820027,AMP,AMERIPRISE FINANCIAL INC
565,1544613,OTSKY,"Otsuka Holdings Co., Ltd./ADR"
566,100493,TSN,"TYSON FOODS, INC."
567,878927,ODFL,"OLD DOMINION FREIGHT LINE, INC."
568,1124140,EXAS,EXACT SCIENCES CORP
569,1518258,ASHTY,Ashtead Group plc/ADR
570,906107,EQR,EQUITY RESIDENTIAL
571,936340,DTE,DTE ENERGY CO
572,946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC
573,1745431,STNE,StoneCo Ltd.
574,915912,AVB,AVALONBAY COMMUNITIES INC
575,733099,RCI,ROGERS COMMUNICATIONS INC
576,1768259,GSX,GSX Techedu Inc.
577,1404912,KKR,KKR & Co. Inc.
578,1385867,COUP,Coupa Software Inc
579,1035002,VLO,VALERO ENERGY CORP/TX
